,HUNDRED_BLOCK,HUNDRED_BLOCK_GEOCODED
280,10100 129TH ST     ,"[-122.8645591, 49.1862023]"
281,10100 131ST ST,"[-122.8595273, 49.1862163]"
282,10100 131ST ST ,"[-122.8595273, 49.1862163]"
283,10100 132ND ST,"[-122.8564593, 49.1863999]"
284,10100 132ND ST ,"[-122.8564593, 49.1863999]"
285,10100 132ND ST     ,"[-122.8564593, 49.1863999]"
286,10100 133RD ST,"[-122.8543037, 49.1870886]"
287,10100 133RD ST ,"[-122.8543037, 49.1870886]"
288,10100 137A ST,"[-122.8411857, 49.1861002]"
289,10100 137A ST ,"[-122.8411857, 49.1861002]"
290,10100 137A ST     ,"[-122.8411857, 49.1861002]"
291,10100 139TH ST,"[-122.8371293, 49.1860429]"
292,10100 139TH ST ,"[-122.8371293, 49.1860429]"
293,10100 139TH ST     ,"[-122.8371293, 49.1860429]"
294,10100 140TH ST ,"[-122.8341509, 49.1860358]"
295,10100 141ST ST,"[-122.8313311, 49.1860224]"
296,10100 141ST ST ,"[-122.8313311, 49.1860224]"
297,10100 141ST ST     ,"[-122.8313311, 49.1860224]"
298,10100 142ND ST,"[-122.8286006, 49.1860343]"
299,10100 142ND ST ,"[-122.8286006, 49.1860343]"
300,10100 142ND ST     ,"[-122.8286006, 49.1860343]"
301,10100 143A ST,"[-122.8244855, 49.1860523]"
302,10100 143A ST ,"[-122.8244855, 49.1860523]"
303,10100 143A ST     ,"[-122.8244855, 49.1860523]"
304,10100 143RD ST,"[-122.8258629, 49.1860498]"
305,10100 143RD ST ,"[-122.8258629, 49.1860498]"
306,10100 143RD ST     ,"[-122.8258629, 49.1860498]"
307,10100 144A ST,"[-122.8215837, 49.186101]"
308,10100 144A ST ,"[-122.8215837, 49.186101]"
309,10100 144A ST     ,"[-122.8215837, 49.186101]"
310,10100 144TH ST,"[-122.823055, 49.1861094]"
311,10100 144TH ST ,"[-122.823055, 49.1861094]"
312,10100 144TH ST     ,"[-122.823055, 49.1861094]"
313,10100 145TH ST,"[-122.8204767, 49.1146076]"
314,10100 145TH ST ,"[-122.8204767, 49.1146076]"
315,10100 145TH ST     ,"[-122.8204767, 49.1146076]"
316,10100 147A ST,"[-122.8134376, 49.1861103]"
317,10100 147A ST ,"[-122.8134376, 49.1861103]"
318,10100 147A ST     ,"[-122.8134376, 49.1861103]"
319,10100 148TH ST ,"[-122.812156, 49.1324012]"
320,10100 149TH ST ,"[-122.8092033, 49.1868459]"
321,10100 150TH ST     ,"[-122.806369, 49.1866302]"
322,10100 152A ST,"[-122.7994708, 49.1875596]"
323,10100 152A ST ,"[-122.7994708, 49.1875596]"
324,10100 152ND ST,"[-122.800812, 49.1861506]"
325,10100 152ND ST ,"[-122.800812, 49.1861506]"
326,10100 152ND ST     ,"[-122.800812, 49.1861506]"
327,10100 153RD ST,"[-122.7980924, 49.1861422]"
328,10100 153RD ST ,"[-122.7980924, 49.1861422]"
329,10100 153RD ST     ,"[-122.7980924, 49.1861422]"
330,10100 154TH ST,"[-122.7953139, 49.1861519]"
331,10100 154TH ST ,"[-122.7953139, 49.1861519]"
332,10100 154TH ST     ,"[-122.7953139, 49.1861519]"
333,10100 155TH ST,"[-122.7925249, 49.1864135]"
334,10100 155TH ST ,"[-122.7925249, 49.1864135]"
335,10100 155TH ST     ,"[-122.7925249, 49.1864135]"
336,10100 156A ST ,"[-122.7884738, 49.1870929]"
337,10100 156A ST     ,"[-122.7884738, 49.1870929]"
338,10100 156TH ST,"[-122.7897795, 49.1861986]"
339,10100 156TH ST ,"[-122.7897795, 49.1861986]"
340,10100 156TH ST     ,"[-122.7897795, 49.1861986]"
341,10100 157A ST,"[-122.7853867, 49.1865454]"
342,10100 157TH ST ,"[-122.7868632, 49.1865585]"
343,10100 157TH ST     ,"[-122.7868632, 49.1865585]"
344,10100 158A ST ,"[-122.782882, 49.1857299]"
345,10100 158A ST     ,"[-122.782882, 49.1857299]"
346,10100 158TH ST,"[-122.7841304, 49.185729]"
347,10100 158TH ST ,"[-122.7841304, 49.185729]"
348,10100 158TH ST     ,"[-122.7841304, 49.185729]"
349,10100 159A ST,"[-122.7799125, 49.1861341]"
350,10100 159A ST ,"[-122.7799125, 49.1861341]"
351,10100 159A ST     ,"[-122.7799125, 49.1861341]"
352,10100 159TH ST,"[-122.7814001, 49.1857353]"
353,10100 159TH ST ,"[-122.7814001, 49.1857353]"
354,10100 159TH ST     ,"[-122.7814001, 49.1857353]"
355,10100 160A ST,"[-122.7768483, 49.1877564]"
356,10100 168TH ST ,"[-122.7564219, 49.1859454]"
357,10100 170A ST ,"[-122.7499925, 49.1858845]"
358,10100 171A ST,"[-122.7469164, 49.1861517]"
359,10100 171A ST ,"[-122.7469164, 49.1861517]"
360,10100 172ND ST,"[-122.7454175, 49.1858969]"
361,10100 173RD ST,"[-122.7425775, 49.1860875]"
362,10100 173RD ST ,"[-122.7425775, 49.1860875]"
363,10100 173RD ST     ,"[-122.7425775, 49.1860875]"
364,10100 174TH ST ,"[-122.7403306, 49.1878442]"
365,10100 175A ST,"[-122.7361471, 49.1861742]"
366,10100 176TH ST ,"[-122.7342623, 49.1871118]"
367,10100 177A ST,"[-122.7306888, 49.1862025]"
368,10100 177A ST ,"[-122.7306888, 49.1862025]"
369,10100 177A ST     ,"[-122.7306888, 49.1862025]"
370,10100 177TH ST,"[-122.7322807, 49.1870287]"
371,10100 177TH ST ,"[-122.7322807, 49.1870287]"
372,10100 177TH ST     ,"[-122.7322807, 49.1870287]"
373,10100 179TH ST     ,"[-122.7256549, 49.1844901]"
374,10100 BEAVER DR ,"[-122.8763359, 49.1871943]"
375,10100 BLOCK KING GEORGE BLVD,"[-122.8451072, 49.1861838]"
376,10100 BLOCK KING GEORGE BLVD   ,"[-122.8451072, 49.1861838]"
377,10100 BLOCK SCOTT RD,"[-125.4030297, 49.1668177]"
378,10100 GRACE RD,"[-122.8983991, 49.1864178]"
379,10100 GRACE RD ,"[-122.8983991, 49.1864178]"
380,10100 GRACE RD     ,"[-122.8983991, 49.1864178]"
381,10100 HELEN DR,"[-122.873529, 49.1861836]"
382,10100 HELEN DR ,"[-122.873529, 49.1861836]"
383,10100 HELEN DR     ,"[-122.873529, 49.1861836]"
384,10100 KING GEORGE BLVD,"[-122.8451072, 49.1861838]"
385,10100 KING GEORGE BLVD    ,"[-122.8451072, 49.1861838]"
386,10100 MARY DR,"[-122.8723585, 49.1862321]"
387,10100 MARY DR ,"[-122.8723585, 49.1862321]"
388,10100 MARY DR     ,"[-122.8723585, 49.1862321]"
389,10100 PARK DR,"[-122.8751825, 49.1861758]"
390,10100 PARK DR ,"[-122.8751825, 49.1861758]"
391,10100 PARK DR     ,"[-122.8751825, 49.1861758]"
392,10100 SCOTT RD,"[-130.3480803, 54.2927013]"
393,10100 SCOTT RD ,"[-130.3480803, 54.2927013]"
394,10100 SCOTT RD     ,"[-130.3480803, 54.2927013]"
395,10100 SEMIAHMOO RD,"[-122.8614837, 49.1872396]"
396,10100 SEMIAHMOO RD ,"[-122.8614837, 49.1872396]"
397,10100 SEMIAHMOO RD     ,"[-122.8614837, 49.1872396]"
398,10100 UNIVERSITY DR,"[-122.8515539, 49.1867814]"
399,10100 UNIVERSITY DR ,"[-122.8515539, 49.1867814]"
400,10100 UNIVERSITY DR     ,"[-122.8515539, 49.1867814]"
401,10100 WHALLEY BLVD,"[-122.843163, 49.1861104]"
402,10100 WHALLEY BLVD ,"[-122.843163, 49.1861104]"
403,10100 WHALLEY BLVD     ,"[-122.843163, 49.1861104]"
404,101A AVE / 120TH ST,"[-122.8900774, 49.1870592]"
405,101A AVE / 122ND ST,"[-122.8840349, 49.186898]"
406,101A AVE / 148TH ST,"[-122.8120251, 49.1869036]"
407,101A AVE / 149TH ST,"[-122.8092581, 49.1868459]"
